latitude,longitude,year,month,natural_acres_burned,human_acres_burned,unknown_acres_burned
35.5,-111.5,2002,8,0.2,0.0,0.0
35.0,-111.5,2002,8,5.899999999999998,0.6000000000000001,0.0
35.0,-112.0,2002,8,72.74999999999999,13.2,0.0
34.5,-112.0,2002,8,3.2500000000000004,0.1,0.0
38.5,-120.5,2002,8,0.0,298.2000000000001,0.0
36.0,-106.5,2002,8,7.500000000000001,1.0,0.0
40.5,-121.5,2002,8,0.0,0.2,0.0
48.0,-116.0,2002,8,5.3,0.7999999999999999,0.0
48.5,-116.5,2002,8,5.7,0.2,1.1
34.0,-109.0,2002,8,25.2,0.0,0.0
44.0,-84.0,2002,8,0.0,1.0,0.0
36.5,-106.5,2002,8,2.8000000000000003,0.0,0.0
47.5,-90.5,2002,8,0.0,0.4,0.0
48.0,-92.5,2002,8,0.5,0.0,0.0
47.5,-92.5,2002,8,0.1,0.2,0.0
45.5,-116.0,2002,8,653.6,0.0,0.0
46.0,-115.5,2002,8,258.0,0.0,0.0
45.5,-115.5,2002,8,145.3,0.0,0.0
45.0,-116.0,2002,8,46.8,0.0,0.0
46.5,-115.5,2002,8,11.5,0.0,0.0
45.5,-115.0,2002,8,513.8,0.0,0.0
48.0,-115.0,2002,8,11.439999999999996,0.62,0.0
43.5,-116.0,2002,8,1.0,69.29999999999998,0.0
45.5,-116.5,2002,8,0.30000000000000004,0.2,0.0
46.0,-116.0,2002,8,10.599999999999998,0.0,0.7999999999999999
44.5,-116.0,2002,8,10.599999999999996,0.2,4.0
44.5,-116.5,2002,8,671.3000000000002,0.2,0.7999999999999999
44.0,-116.0,2002,8,239.89999999999995,0.7999999999999999,0.2
43.5,-115.5,2002,8,6.4,0.0,0.0
34.5,-111.0,2002,8,3.0,0.0,0.0
34.0,-109.5,2002,8,0.30000000000000004,0.0,0.0
48.5,-114.5,2002,8,0.7100000000000001,0.4,0.0
48.0,-114.0,2002,8,1.1,1.31,0.0
48.0,-114.5,2002,8,0.02,3.46,0.0
48.0,-113.5,2002,8,0.0,0.30000000000000004,0.0
47.5,-114.0,2002,8,0.62,0.42,0.0
34.0,-110.0,2002,8,0.4,1.7,0.0
40.0,-122.0,2002,8,0.0,1.3000000000000005,0.0
40.5,-121.0,2002,8,0.1,0.0,0.0
34.0,-111.5,2002,8,3532.8,0.2,0.0
34.5,-95.0,2002,8,5.0,36.1,0.0
34.5,-94.5,2002,8,0.0,41.5,0.0
34.5,-93.5,2002,8,1.0,3.0,0.0
45.0,-116.5,2002,8,0.9,3359.1,1.15
33.5,-109.5,2002,8,8.4,0.0,0.0
34.0,-110.5,2002,8,7.4,0.0,0.0
42.5,-109.0,2002,8,13433.1,0.30000000000000004,0.0
44.5,-110.0,2002,8,0.2,0.1,0.0
44.5,-109.5,2002,8,1.0,0.1,0.0
43.5,-109.5,2002,8,3.7,0.0,0.0
48.5,-115.0,2002,8,3.31,1.4,0.0
43.5,-121.5,2002,8,1.8000000000000005,4.229999999999999,0.0
33.5,-108.5,2002,8,0.1,0.0,0.0
33.5,-109.0,2002,8,92.0,0.0,0.0
44.0,-116.5,2002,8,0.7,0.0,0.1
34.5,-111.5,2002,8,38.20000000000001,0.1,0.0
34.5,-109.0,2002,8,0.4,0.0,0.0
34.0,-108.5,2002,8,1.0,0.0,0.0
39.5,-121.0,2002,8,0.0,2.5000000000000004,0.0
34.0,-111.0,2002,8,7.1,0.0,0.0
46.0,-115.0,2002,8,2579.2,0.0,0.0
47.0,-94.5,2002,8,0.0,0.1,0.0
44.0,-122.0,2002,8,2.1,0.2,0.0
44.0,-121.0,2002,8,0.8999999999999999,0.11,0.0
44.0,-120.5,2002,8,1.4,0.5,0.0
43.5,-122.0,2002,8,0.7999999999999999,3.5,0.0
43.0,-122.5,2002,8,0.7,0.2,0.0
43.0,-122.0,2002,8,0.2,0.31000000000000005,0.0
43.5,-122.5,2002,8,6.3,1.01,0.0
48.0,-115.5,2002,8,3.8699999999999983,1.33,0.0
48.5,-116.0,2002,8,1.9,2.2,0.0
47.5,-113.5,2002,8,0.9,0.0,0.0
45.0,-117.5,2002,8,2.7,0.0,0.0
45.0,-117.0,2002,8,1.7000000000000004,0.1,0.0
45.0,-118.5,2002,8,0.41,0.0,0.0
44.5,-118.5,2002,8,1.9000000000000004,0.0,0.0
43.5,-116.5,2002,8,0.30000000000000004,0.5,0.5
44.0,-115.5,2002,8,0.8,0.2,0.0
33.5,-111.5,2002,8,3.5,0.1,0.0
44.5,-115.5,2002,8,331.5,0.0,0.0
